name,area,address,lat,lon,pax_min,pax_max,price_from,price_to,currency,rating,review_count,is_claimed,availability_source,phone,email,website,contact_name,contact_role
The Manila Hotel - Fiesta Pavilion,Manila,"Ermita, Manila (Manila Hotel)",14.5818039,120.9856704,200,1000,,,PHP,4.6,1200,true,none,+63 2 8527 0011,info@manilahotel.com.ph,https://www.manilahotel.com.ph,Sales Team,Venue Sales
The Manila Hotel - Centennial Hall,Manila,"Ermita, Manila (Manila Hotel)",14.5818039,120.9856704,150,550,,,PHP,4.6,1200,true,none,+63 2 8527 0011,info@manilahotel.com.ph,https://www.manilahotel.com.ph,Sales Team,Venue Sales
Manila Prince Hotel - Grand Ballroom,Manila,"Ermita, Manila",14.5844921,120.9871126,150,600,,,PHP,4.2,600,false,none,+63 2 5328 2222,info@manilaprince.com,https://www.manilaprince.com,Sales Team,Events & Catering
Diamond Hotel Philippines - Grand Ballroom,Manila,"Roxas Blvd, Malate, Manila",,,150,800,,,PHP,4.6,1600,true,none,+63 2 8528 3000,info@diamondhotel.com,https://www.diamondhotel.com,Sales Team,Events & Catering
New Coast Hotel Manila - Grand Ballroom,Manila,"Malate, Manila",14.5732906,120.9828034,150,900,,,PHP,4.3,900,true,none,+63 2 8252 6888,info@newcoasthotelmanila.com,https://www.newcoasthotelmanila.com,Sales Team,Venue Sales
Sheraton Manila Bay - Grand Ballroom,Manila,"M. Adriatico St, Malate, Manila",14.5727383,120.9843562,120,700,,,PHP,4.5,1500,true,none,+63 2 5318 0788,manilabay@sheraton.com,https://www.marriott.com,Events Team,Events & Catering
Rizal Park Hotel - Ballroom,Manila,"T.M. Kalaw Ave, Ermita, Manila",14.5787061,120.9763067,100,500,,,PHP,4.2,700,true,none,+63 2 8524 5858,info@rizalparkhotel.com,https://www.rizalparkhotel.com,Sales Team,Venue Sales
Admiral Hotel Manila - Grand Harbour Ballroom,Manila,"Roxas Blvd, Ermita, Manila",14.5654699,120.9851991,60,180,,,PHP,4.4,450,true,none,+63 2 5318 9000,info@admiralhotelmanila.com,https://www.admiralhotelmanila.com,Events Team,Events & Catering
The Bayleaf Intramuros - Ballroom,Manila,"Intramuros, Manila",14.5900019,120.9787334,80,350,,,PHP,4.4,1100,true,none,+63 2 5318 5000,events@bayleafhotels.com,https://www.bayleafhotels.com,Sales Team,Events & Catering
Century Park Hotel - Grand Ballroom,Manila,"Pablo Ocampo Sr Ext, Malate, Manila",14.5613231,120.9908942,150,1200,,,PHP,4.3,900,true,none,+63 2 8528 8888,info@centurypark.com.ph,https://www.centurypark.com.ph,Sales Team,Venue Sales
Manila Marriott Hotel - Grand Ballroom,Manila,"Newport City, Pasay (near Manila)",14.5206239,121.0185888,200,1500,,,PHP,4.7,4500,true,none,+63 2 8988 9999,manilamarriott@marriott.com,https://www.marriott.com,Events Team,Events & Catering
Hilton Manila - Ballroom,Manila,"Newport City, Pasay (near Manila)",14.5186554,121.0188988,150,900,,,PHP,4.6,2500,true,none,+63 2 8531 3000,manila@hilton.com,https://www.hilton.com,Events Team,Events & Catering
Okada Manila - Grand Ballroom,Manila,"Entertainment City, Parañaque (near Manila)",14.5141885,120.9802907,200,1500,,,PHP,4.7,8000,true,none,+63 2 8888 0777,events@okadamanila.com,https://www.okadamanila.com,Events Team,Events & Catering
SMX Convention Center Manila,Manila,"MOA Complex, Pasay (near Manila)",14.5320342,120.9815806,500,10000,,,PHP,4.5,3000,true,none,+63 2 8556 8888,info@smxconventioncenter.com,https://www.smxconventioncenter.com,Sales Team,Venue Sales
World Trade Center Metro Manila,Manila,Pasay (near Manila),14.5503180,120.9876020,800,13000,,,PHP,4.4,2000,true,none,+63 2 8833 3222,info@wtcmm.com.ph,https://www.wtcmm.com.ph,Sales Team,Venue Sales
Philippine International Convention Center - Plenary Hall,Manila,"CCP Complex, Pasay (near Manila)",14.5543133,120.9830575,800,3500,,,PHP,4.6,2500,true,none,+63 2 8832 1111,info@picc.gov.ph,https://www.picc.gov.ph,Sales Team,Government Venue
SM Mall of Asia Arena,Manila,"MOA Complex, Pasay (near Manila)",14.5351818,120.9815994,2000,15000,,,PHP,4.6,20000,true,none,+63 2 8556 8888,info@mallofasiaarena.com,https://www.mallofasiaarena.com,Events Team,Arena Events
Newport Performing Arts Theater,Manila,"Newport City, Pasay (near Manila)",14.5192776,121.0195759,800,1500,,,PHP,4.5,1500,true,none,+63 2 8988 9999,info@newportworldresorts.com,https://www.newportworldresorts.com,Events Team,Theater Events
Cuneta Astrodome,Manila,Pasay (near Manila),14.5448603,120.9921948,1500,8000,,,PHP,4.1,1200,true,none,+63 2 8833 1111,,https://www.pasay.gov.ph,City Admin,Government Venue
Cultural Center of the Philippines - Main Theater,Manila,"CCP Complex, Pasay (near Manila)",14.5585666,120.9857899,800,1800,,,PHP,4.7,2000,true,none,+63 2 8832 3700,info@culturalcenter.gov.ph,https://www.culturalcenter.gov.ph,Events Team,Theater Events
Makati Shangri-La - Grand Ballroom,Makati,"Ayala Ave, Makati",14.5536265,121.0247346,200,1200,,,PHP,4.6,6000,true,none,+63 2 8814 2580,slm@shangrilagroup.com,https://www.shangrilahotels.com,Events Team,Events & Catering
The Peninsula Manila - Rigodon Ballroom,Makati,"Ayala Ave, Makati",14.5549507,121.0251943,200,900,,,PHP,4.7,4500,true,none,+63 2 8887 2888,pmn@peninsula.com,https://www.peninsula.com,Events Team,Events & Catering
Dusit Thani Manila - Grand Ballroom,Makati,"Ayala Center, Makati",14.5484702,121.0261570,200,1200,,,PHP,4.5,5500,true,none,+63 2 8867 3333,dtmn@dusit.com,https://www.dusit.com,Events Team,Events & Catering
New World Makati Hotel - Ballroom,Makati,"Esperanza St, Makati",,,150,900,,,PHP,4.5,6500,true,none,+63 2 8811 6888,info.manila@newworldhotels.com,https://www.newworldhotels.com,Events Team,Events & Catering
Fairmont Makati - Ballroom,Makati,"Makati Ave, Makati",14.5506320,121.0231412,150,700,,,PHP,4.6,4000,true,none,+63 2 8555 9888,makati@fairmont.com,https://www.fairmont.com,Events Team,Events & Catering
